Tid[s] Avstand[m]
0 0.0
15 67.31656556907375
30 92.06530291067084
45 126.57211383262457
60 161.07892475445271
75 228.11264761101233
90 341.1083112445904
105 453.53828945326575
120 530.3300858900564
135 562.0084696872453
150 594.5353816218512
165 640.7801651113838
180 688.4391621633616
195 756.179991801081
210 913.1576972244553
225 1135.0478051607843
240 1373.4842117769301
255 1576.2824366211914
270 1680.6513975243438
285 1826.1739730925276
300 1949.4933957314906
315 2062.064795296423
330 2258.357637753738
345 2400.3446794159977
360 2507.824910156429
375 2641.185249088137
390 2692.945465471068
405 2799.8600107864704
420 2897.5821679464198
435 3010.153567511352
450 3117.0681128267547
465 3222.851287292227
480 3307.421258322152
495 3346.1707099311902
510 3393.122600202008
525 3524.2201974339796
540 3707.7851178299165
555 3908.6034436869554
570 4091.602678657989
585 4317.1697418565
600 4530.857411131175
615 4737.332591237617
630 4967.425137835726
645 5257.056075409648
660 5541.878686871584
675 5840.560591244829
690 6130.474371531266
705 6400.023476519573
720 6683.714717131703
735 6924.1310227350705
750 7176.143879550012
765 7414.8631288785455
780 7621.479730341246
795 7871.654109525098
810 8130.738034151887
825 8374.548452304924
840 8619.631662664147
855 8965.406878664468
870 9406.641510124875
885 9850.280304641276
900 10285.575239139764
915 10657.230563331363
930 11054.907417070619
945 11482.141334263584
960 11989.561160443009
975 12405.481369137042
990 12760.448973292689
1005 13161.661360937871
1020 13640.655494513643
1035 14142.277045087405
1050 14708.810998173998
1065 15189.643609380862
1080 15661.283832432271
1095 16133.065476839934
1110 16531.166594647962
1125 16804.95834032348
1140 17236.293476847277
1155 17706.37806498011
1170 18068.275315591345
1185 18398.21133969301
1200 18719.94492513289
1215 19056.527752977632
1230 19378.685602486286
1245 19768.16001756376
1260 20097.53035624052
1275 20378.25174837151
1290 20790.777844515746
1305 21149.84666800235
1320 21489.39934432811
1335 21821.03242470461
1350 21863.60025293196
1365 21981.121399965265
1380 22310.350317285644
1395 22728.250424966896
1410 23096.08737254018
1425 23429.700351904026
1440 23584.27389427141
1455 23690.19849009314
1470 23970.071354086704
1485 24255.31822961741
1500 24586.10278185649
1515 24916.038805958153
1530 25227.165789680133
1545 25497.84626551837
1560 25732.88855958485
1575 25959.728414989422
1590 26185.578320900444
1605 26341.283234117756
1620 26496.98814733494
1635 26652.693060552258
1650 26808.539395125823
1665 26964.24430834301
1680 27119.949221560324
1695 28343.951059794246
1710 28532.46572765855
1725 28713.343642286105
1740 28928.586946479227
1755 29004.671636134986
1770 29191.630669080718
1785 29272.66510620459
1800 29407.581080054995
1815 29740.769795350192
1830 30139.153755870604
1845 30501.1924278381
1860 30781.630977256696
1875 30989.23752821307
1890 31107.46578202753
1905 31239.129064684406
1920 31416.188602693524
1935 31664.383082890025
1950 31890.798674225953
1965 32158.650722939426
1980 32573.58098213966
1995 32877.354055337404
2010 33189.612409909445
2025 33497.48670243802
2040 33842.4133903008
2055 34151.56047503556
2070 34456.464919083235
2085 34747.08580615083
2100 35036.151058299976
2115 35242.90908111894
2130 35417.14019200329
2145 35472.57736364827
2160 35528.01453529326
2175 35583.45170693837
2190 35638.888878583355
2205 35694.32605022833
2220 36173.037341091724
2235 36433.394057924575
2250 36763.047239313724
2265 36992.856943199324
2280 37434.94010279714
2295 37792.0290272964
2310 38097.78199948149
2325 38366.623997688635
2340 38500.125757976595
2355 38616.515534159844
2370 38813.6569047547
2385 39152.36105294305
2400 39489.08530214405
2415 39831.466405594576
2430 40086.02484682176
2445 40228.15330984028
2460 40245.97240072616
2475 40285.14611640397
2490 40349.917097560545
2505 40621.30468017994
2520 40736.138821444736
2535 40962.554412780664
2550 41120.804910410225
2565 41345.52344547131
2580 41568.82776696996
2595 41782.65685760077
2610 41852.23616486958
2625 41934.401972843385
2640 41987.43498143237
2655 42142.43278786853
2670 42616.760016688444
2685 42801.59772929057
2700 42961.26244048258
2715 43050.07505219959
2730 43072.843890553835
2745 43161.93934498336
2760 43196.446155905316
2775 43250.18627127547
2790 43300.10801002718
2805 43322.735427025174
2820 43338.99888299248
2835 43363.74762033395
2850 43387.50640818187
2865 43405.891184492655
2880 43429.93281505296
2895 43464.86389004357
2910 43510.11872403955
2925 43522.56380338842
2940 43529.06918577536
2955 43534.160354599866
2970 43568.24290145304
2985 43606.42666763705
3000 43638.81215821539
3015 43642.0648494088
3030 43679.40008745553
3045 43687.03684069241
3060 43699.199077328754
3075 43710.65420718395
3090 43755.3433557549
3105 43827.89251150461
3120 43917.97791542781
3135 43920.382078483795
3150 43979.77904810348
3165 44008.20474070725
3180 44028.14515193662
3195 44041.15591671038
3210 44156.27290068757
3225 44251.73231614778
3240 44342.100562783366
3255 44360.34391773801
3270 44392.305144247584
3285 44449.29795081128
3300 44477.58222205868
3315 44480.269227827186
3330 44535.140714047266
3345 44604.57859995982
3360 44609.95261149684
3375 44621.549162708274
3390 44643.04520885634
3405 44654.500338711536
3420 44661.854249235774
3435 44666.66257534776
3450 44771.45580031968
3465 44883.32009310333
3480 44973.264075670275
3495 45010.03362829197
3510 45075.51171622982
3525 45131.93883736861
3540 45155.27336114776
3555 45202.08383006219
3570 45213.11469584874
3585 45234.46932064054
3600 45300.65451535955
3615 45446.035669571604
3630 45570.345041704124
3645 45609.09449331317
3660 45612.06434179418
3675 45624.50942114317
3690 45701.86690300499
3705 45806.09444255189
3720 45877.51222745166
3735 45956.14250151967
3750 46056.975928516775
3765 46137.16183750336
3780 46182.27525014309
3795 46236.581050938265
3810 46312.24147652512
3825 46412.36779674119
3840 46502.02893659562
3855 46595.36703171223
3870 46692.38208209102
3885 46774.265047352426
3900 46848.65268073323
3915 46964.19392877918
3930 47176.89164856005
3945 47304.312290529844
3960 47331.606612283686
3975 47523.93965676644
3990 47662.53258587903
4005 47818.9446058775
4020 47966.58850178928
4035 48129.93016824335
4050 48348.28474227375
4065 48550.09301762434
4080 48643.14827002856
4095 48704.8079813481
4110 48807.90415004507
4125 48900.95940244916
4140 48909.58610517971
4155 49027.53151628166
4170 49167.96292302535
4185 49404.56085201041
4200 49578.509120182236
4215 49777.771811120576
4230 50021.01654384883
4245 50269.2110240452
4260 50551.346629738626
4275 50716.5267738239
4290 50950.72053975284
4305 50987.772935087036
4320 51038.68462333243
4335 51120.42616723759
4350 51135.55825235496
4365 51193.965272480964
4380 51201.03634029282
4395 51259.16051770631
4410 51284.47494047281
4425 51310.637891376726
4440 51323.365813438104
4455 51379.22724915186
4470 51446.40239336455
4485 51527.436830488565
4500 51603.94578421283
4515 51714.11302072177
4530 51738.296072638346
4545 51814.94644771888
4560 51868.5451417329
4575 51964.570242618014
4590 51992.8545138654
4605 52044.614730248344
4620 52081.80854693868
4635 52145.73099995796
4650 52156.90328710076
4665 52226.48259436945
4680 52263.11072563489
4695 52303.98149758753
4710 52423.3411222518
4725 52455.72661283015
4740 52543.26643234096
4755 52601.532031110706
4770 52667.717225829845
4785 52796.55208136196
4800 52922.417088413174
4815 52933.87221826836
4830 52977.42999598951
4845 53018.72503201081
4860 53082.223220961314
4875 53095.37540709134
4890 53150.529736023935
4905 53175.13705200927
4920 53239.62519045345
4935 53345.266943562674
4950 53467.03073128306
4965 53526.28627954649
4980 53596.00700817155
4995 53650.73707303538
5010 53671.66743375854
5025 53770.379540412156
5040 53843.35296023064
5055 53923.25602650471
5070 54025.079402995616
5085 54118.13465539971
5100 54171.309085344954
5115 54273.83956861701
5130 54353.88405624734
5145 54383.72396241343
5160 54528.82227391285
5175 54667.698045737954
5190 54742.93420725617
5205 54839.66641492244
5220 54930.17608291429
5235 54955.63192703704
5250 55053.212662840735
5265 55156.73309560647
5280 55249.92976936682
5295 55324.17598139149
5310 55394.17955272894
5325 55424.726565676196
5340 55495.15440108242
5355 55570.95624802554
5370 55651.00073565586
5385 55743.63172399131
5400 55808.68554786053
5415 55892.97267617793
5430 55964.10761836532
5445 56024.91880154731
5460 56143.71274078669
5475 56261.233887819864
5490 56393.18001318925
5505 56519.469284309234
5520 56636.7075886299
5535 56741.500813601815
5550 56837.38449313068
5565 56942.03629674622
5580 57042.728302387186
5595 57085.57897332718
5610 57143.27888667202
5625 57212.575351228326
5640 57268.861051010725
5655 57355.26949967173
5670 57363.330516977265
5685 57425.41449236545
5700 57480.28597858554
5715 57562.0275224907
5730 57655.36561760731
5745 57752.946353411004
5760 57871.45744993786
5775 58026.73809908653
5790 58184.564332647315
5805 58389.62529919144
5820 58512.803300474145
5835 58650.689122805576
5850 58774.29138815693
5865 58884.17578195335
5880 58957.14920177183
5895 58959.55336482782
5910 58986.70626522541
5925 59040.16353788317
5940 59100.12619292776
5955 59186.53464158877
5970 59261.912224463245
5985 59339.6939703937
6000 59412.9502329247
6015 59491.297664280195
6030 59570.63504512924
6045 59654.78075209052
6060 59740.199251257865
6075 59842.022627748636
6090 59955.86681951975
6105 60064.054157041224
6120 60162.624842338715
6135 60259.21562864873
6150 60374.0497699134
6165 60491.42949559045
6180 60611.35480567962
6195 60727.744581862986
6210 60845.83141432106
6225 60967.45378068519
6240 61087.23766941823
6255 61173.08043265422
6270 61218.05242393768
6285 61225.68917717444
6300 61274.76238778886
6315 61327.22971095282
6330 61448.144970535664
6345 61553.36245957624
6360 61634.39689670024
6375 61676.82330357146
6390 61702.13772633784
6405 61722.50240163609
6420 61761.39327460138
6435 61836.063750694695
6450 61914.411182050186
6465 62014.25465955375
6480 62141.53388016741
6495 62216.62862032936
6510 62235.154817996394
6525 62267.681729931
6540 62320.29047445135
6555 62346.312003999
6570 62375.16196067144
6585 62429.326340110354
6600 62481.793663274446
6615 62512.906361646725
6630 62607.517248969525
6645 62681.19777556917
6660 62727.30113770256
6675 62780.89983171659
6690 62835.77131793654
6705 62938.443222564856
6720 62947.35276800779
6735 63020.891873251174
6750 63117.34123820506
6765 63147.88825115232
6780 63176.73820782475
6795 63292.562298583085
6810 63448.55005451279
6825 63476.26864033528
6840 63596.476793137095
6855 63952.7171894988
6870 64389.002073490956
6885 64826.984013757836
6900 65287.73479237896
6915 65411.90274315521
6930 65796.28598940832
6945 66104.7259673618
6960 66475.5327634161
6975 66881.27063446087
6990 67232.41986199809
7005 67655.26971714757
7020 68010.0958999471
7035 68286.29180867848
7050 68682.9787129242
7065 68892.2823201554
7080 69239.89601378668
7095 69493.60592687645
7110 69750.00284573474
7125 69868.08967819295
7140 70089.41410070438
7155 70272.83759974418
7170 70593.72265704653
7185 70651.13972767885
7200 71137.34635042273
7215 71553.83224454167
7230 71954.6203681182
7245 72124.89168102798
7260 72470.38405431579
7275 72752.94392407787
7290 72982.18794253856
7305 73074.818930874
7320 73177.34941414607
7335 73344.79229993108
7350 73432.3321194419
7365 73699.61848273047
7380 73958.98525006964
7395 74221.03902317745
7410 74233.62552388258
7425 74412.5235395228
7440 74454.66710368148
7455 74565.54144697146
7470 74639.36339492736
7485 74813.02882038681
7500 74905.80123007839
7515 74951.19748543063
7530 75449.99060887963
7545 75778.51241941896
7560 75881.60858811605
7575 76113.398190989
7590 76123.58052863814
7605 76133.33860221849
7620 76472.60843583173
7635 76680.07356543186
7650 76798.0189765338
7665 77206.44385334708
7680 77365.54287911407
7695 77498.9032180459
7710 77573.71511549548
7725 77750.77465350457
7740 77970.82628380983
7755 78071.65971080693
7770 78261.58859223354
7785 78269.36676682669
7800 78472.58925573959
7815 78600.99984720306
7830 78627.728483532
7845 78796.86842559173
7860 78859.65950776121
7875 78943.23952929745
7890 79082.68098654748
7905 79450.51793412064
7920 80007.43523498325
7935 80515.70358930009
7950 80936.99780953102
7965 81345.56410770069
7980 81484.72272223818
7995 81664.75210872831
8010 81868.54028306625
8025 81923.8360333551
8040 82173.72756982644
8055 82409.75981338645
8070 82429.98306732846
8085 82501.68369494088
8100 82631.3670786104
8115 82774.48549112258
8130 82915.48258329117
8145 83048.27723679799
8160 83169.19249638094
8175 83291.09770545748
8190 83421.77103862079
8205 83539.85787107887
8220 83658.36896760573
8235 83789.89082890647
8250 83934.989140406
8265 84077.25902478065
8280 84213.58921219352
8295 84320.7866002213
8310 84391.63869969617
8325 84458.67242255273
8340 84533.20147728978
8355 84576.1935695859
8370 84846.16693864299
8385 85090.54304222103
8400 85326.00960035616
8415 85587.21484532642
8430 85883.6340079998
8445 86154.7387479067
8460 86424.287852895
8475 86689.31147448382
8490 86965.79022592773
8505 87228.97536988535
8520 87232.36948243502
8535 87411.69176214388
8550 87562.87119196159
8565 87642.6328368794
8580 87741.06210082062
8595 87764.25520324367
8610 87922.64712222935
8625 88048.51212928057
8640 88094.04980598895
8655 88253.29025311217
8670 88331.2134203989
8685 88453.96715761295
8700 88474.33183291109
8715 88581.67064229514
8730 88588.17602468208
8745 88695.9390981349
8760 88801.01516581922
8775 88931.40565627003
8790 88966.61957397315
8805 89090.64610339327
8820 89157.11414082481
8835 89282.69630516363
8850 89374.3373440054
8865 89490.58569883251
8880 89497.65676664436
8895 89585.47942886768
8910 89715.16281253722
8925 89731.7091112169
8940 89814.0163405471
8955 89947.51810083518
8970 90031.23954372769
8985 90126.4161164754
9000 90240.68457231516
9015 90241.81594316497
9030 90267.5546300001
9045 90268.54457949378
9060 90353.53881459235
9075 90466.25163551354
9090 90576.84313609113
9105 90698.74834516764
9120 90830.55304918077
9135 90974.80283254289
9150 91037.02822928733
9165 91129.51779626653
9180 91247.8874714371
9195 91420.8457901154
9210 91655.74666282549
9225 91915.96195830221
9240 92239.81686408559
9255 92278.84915840701
9270 92306.28490151712
9285 92402.31000240236
9300 92460.71702252836
9315 92707.49728916242
9330 92875.93012444112
9345 92925.14475641165
9360 92986.94588908734
9375 93076.04134351686
9390 93179.42035492633
9405 93253.52514559463
9420 93337.10516713087
9435 93546.55019571834
9450 93763.91482025507
9465 93980.57233801064
9480 94322.52917739253
9495 94680.60805138534
9510 94943.22750991804
9525 95109.53902485313
9540 95381.6337142537
9555 95815.37301383361
9570 96053.52657773723
9585 96138.09654876716
9600 96455.30465080745
9615 96719.621165615
9630 96766.29021317331
9645 97198.7567205469
9660 97577.0588484817
9675 97787.77666927535
9690 97888.89293898497
9705 98216.84906409928
9720 98509.16700744184
9735 98574.0794099548
9750 98587.65586015358
9765 98598.26246187148
9780 98629.65800295614
9795 98794.69672568505
9810 99031.0118119576
9825 99204.25297334828
9840 99332.66356481174
9855 99449.33618370762
9870 99577.0396683898
9885 99706.72305205946
9900 99837.39638522278
9915 99855.21547610866
9930 100067.20608910851
9945 100265.33740919692
9960 100316.2490974423
9975 100448.33664416795
9990 100562.18083593906
10005 100698.36960199554
10020 100847.28629011339
10035 100973.99982530202
10050 101111.1785408523
10065 101234.0736994225
10080 101305.63290567853
10095 101360.22154918622
10110 101426.54816526151
10125 101488.77356200584
10140 101523.13895157153
10155 101632.59908129918
10170 101749.83738561996
10185 101802.58755149643
10200 101830.87182274394
10215 101904.26950663107
10230 102061.24721205446
10245 102186.26369096823
10260 102323.01814244973
10275 102455.38853188789
10290 102564.14155483438
10305 102620.7100973293
10320 102677.42006118046
10335 102747.28221116164
10350 102828.88233371056
10365 102903.12854573524
10380 102964.36399298588
10395 103039.88299721661
10410 103132.79682826457
10425 103230.80182813705
10440 103328.523985297
10455 103431.47873263783
10470 103542.07023321543
10485 103651.53036294307
10500 103753.21231807773
10515 103844.14625013822
10530 103944.55541306679
10545 104047.22731769498
10560 104140.8482555241
10575 104216.93294517987
10590 104309.98819758395
10605 104367.6881109288
10620 104407.28609067528
10635 104569.92065034818
10650 104609.37720873838
10665 104775.83014502971
10680 104829.4288390436
10695 104900.70520258724
10710 105090.06839858896
10725 105185.10354998041
10740 105281.55291493428
10755 105304.88743871346
10770 105543.46526668586
10785 106040.70275521616
10800 106109.71637705993
10815 106245.19803633522
10830 106378.41695391081
10845 106486.74571278853
10860 106510.0802365677
10875 106570.18431296853
10890 106603.70117439682
10905 106615.156304252
10920 106636.93519311247
10935 106666.35083520993
10950 106716.97968074278
10965 106724.1921699109
10980 106724.47501262327
10995 106778.92223477458
11010 106812.72193891525
11025 106870.70469497262
11040 106932.64724900456
11055 106978.0435043568
11070 106998.54960101131
11085 107055.25956486237
11100 107080.1497235601
11115 107113.38374227585
11130 107115.78790533185
11145 107174.05350410173
11160 107193.9939153311
11175 107230.76346795277
11190 107288.1805385851
11205 107337.67801326817
11220 107411.07569715542
11235 107512.6162309338
11250 107633.24864780412
11265 107671.290992632
11280 107709.89902288477
11295 107743.8401483817
11310 107820.914787531
11325 107885.1200832628
11340 107901.10069651758
11355 107971.38711056755
11370 108055.10855345994
11385 108070.9477453586
11400 108129.21334412835
11415 108195.11569613498
11430 108272.33175664056
11445 108352.65908698327
11460 108363.12426734477
11475 108390.70143181103
11490 108472.30155436006
11505 108550.08330029064
11520 108576.6705152632
11535 108650.63388457536
11550 108682.45368972882
11565 108709.60659012641
11580 108719.78892777555
11595 108753.0229464913
11610 108789.08539233182
11625 108800.11625811837
11640 108822.74367511625
11655 108868.13993046836
11670 108888.08034169783
11685 108943.65893469908
11700 109043.21956949012
11715 109080.13054346807
11730 109105.44496623457
11745 109175.44853757204
11760 109283.63587509362
11775 109341.33578843847
11790 109438.35083881726
11805 109480.35298161971
11820 109496.89928029953
11835 109514.01126440427
11850 109564.49868858099
11865 109583.30772896056
11880 109617.67311852626
11895 109675.37303187112
11910 109712.42542720532
11925 109741.13396252148
11940 109857.09947463607
11955 109958.92285112686
11970 110023.97667499607
11985 110048.15972691262
12000 110101.19273550161
12015 110119.8603545249
12030 110141.63924338546
12045 110204.99601097972
12060 110376.68153745185
12075 110544.40726594935
12090 110605.50129184387
12105 110696.29380254824
12120 110843.65485574752
12135 110939.96279934516
12150 111349.09478293973
12165 111433.66475396966
12180 111457.42354181745
12195 111652.4435920687
12210 111943.48874320505
12225 112093.53680217285
12240 112266.49512085115
12255 112499.41609457402
12270 112659.64649119091
12285 112778.2990090739
12300 112975.15753695623
12315 113158.15677192739
12330 113305.65924648293
12345 113491.91117264736
12360 113681.27436864922
12375 113855.78832224595
12390 113986.17881269674
